,Artist,Genre,Title,Year
361,김정호,성인가요,나그네 (불망곡) (Narr. 이윤선),1975
362,옥희,성인가요,나는 몰라요,1975
363,딕 훼밀리,록/메탈,나는 못난이,1975
364,남진,성인가요,나에게 애인이 있다면,1975
365,송창식,포크/블루스,날이 갈수록,1975
366,이종용,발라드,너,1975
367,옥희,성인가요,눈으로만 말해요,1975
368,검은 나비,성인가요,당신은 몰라,1975
369,4월과 5월,발라드,등불,1975
370,박일남,성인가요,마음은 서러워도,1975
371,송창식,포크/블루스,맨처음 고백,1975
372,이수만,성인가요,모든 것 끝난 뒤,1975
373,신중현과 엽전들,록/메탈,미인,1975
374,윤형주,포크/블루스,바보,1975
375,"박인희,이연실",포크/블루스,비개인 오후,1975
376,양희은,포크/블루스,빗속을 둘이서,1975
377,송창식,성인가요,애들은 가라,1975
378,윤형주,포크/블루스,어제 내린 비,1975
379,윤연선,발라드,얼굴,1975
380,김인순,발라드,여고 졸업반,1975
381,논두렁 밭두렁,발라드,영,1975
382,한대수,포크/블루스,옥의 슬픔,1975
383,윤복희,성인가요,이거야 정말,1975
384,이승연,성인가요,잊으리,1975
385,이정근,성인가요,작별,1975
386,윤항기,성인가요,장미빛 스카프,1975
387,서수남과 하청일,포크/블루스,정말로 너무 해,1975
388,박상규,발라드,조약돌,1975
389,하수영,성인가요,찬비,1975
390,김정호,포크/블루스,푸른 하늘 아래로,1975
391,김정호,성인가요,하얀 나비 (Narr. 이윤선),1975
392,송대관,성인가요,해뜰 날,1975
393,김세환,포크/블루스,화가 났을까,1975
394,정미조,발라드,휘파람을 부세요,1975
395,장욱조,성인가요,고목나무,1976
396,이영식,성인가요,그누가 모르나,1976
397,권태수,성인가요,그 소녀,1976
398,송창식,포크/블루스,그대 있음에,1976
399,이필원,포크/블루스,그리운 사람은,1976
400,박인희,포크/블루스,끝이 없는 길,1976
401,Trippers,성인가요,나를 두고 아리랑,1976
402,권태수,성인가요,눈으로,1976
403,버들피리,성인가요,눈이 큰 아이,1976
404,혜은이,성인가요,당신은 모르실거야,1976
405,산이슬,포크/블루스,두마음,1976
406,송창식,포크/블루스,둘일 때는 좋았지,1976
407,정종숙,포크/블루스,둘이 걸었네,1976
408,박상규,발라드,둘이서,1976
409,김훈,성인가요,모래탑,1976
410,이승연,성인가요,비에 젖은 비둘기,1976
411,채은옥,발라드,빗물,1976
412,투에이스,성인가요,빗속을 둘이서,1976
413,투에이스,성인가요,사랑을 미워해,1976
414,정종숙,발라드,새끼 손가락,1976
415,이정선,포크/블루스,섬소년,1976
416,Trippers,성인가요,세월만 가네,1976
417,김세환,포크/블루스,슬픈 노래는 싫어요,1976
418,유승엽,발라드,슬픈 노래는 싫어요,1976
419,임성훈,발라드,시골길,1976
420,하수영,성인가요,아내에게 바치는 노래,1976
421,이은하,발라드,아직도 그대는 내사랑,1976
422,전영록,"발라드, 성인가요",애심,1976
423,박지영,포크/블루스,이 다음에 우리는,1976
424,김훈,성인가요,이렇게 당신생각에,1976
425,송창식,발라드,이,1976
426,둘 다섯,포크/블루스,일기,1976
427,Trippers,성인가요,정주고 내가우네,1976
428,투에이스,성인가요,처녀 뱃사공,1976
429,김씨네,성인가요,터질거에요,1976
430,이수만,성인가요,파도,1976
431,투에이스,성인가요,푸른 하늘 아래로,1976
432,김인순,발라드,푸른교실,1976
433,양희은,포크/블루스,한사람,1976
434,서수남과 하청일,포크/블루스,과수원 길,1977
435,김국환,성인가요,꽃순이를 아시나요,1977
436,김세화,포크/블루스,나비소녀,1977
437,장계현,성인가요,나의 20년,1977
438,김민식,발라드,나의 사람아,1977
439,조영남,발라드,내고향 충청도,1977
440,김세화,포크/블루스,내 노래에 날개가 있다면,1977
441,최백호,발라드,내마음 갈곳을 잃어,1977
442,양희은,포크/블루스,네 꿈을 펼쳐라,1977
443,권태수,성인가요,눈으로,1977
444,조용필,성인가요,돌아와요 부산항에,1977
445,옥희,성인가요,두 손을 잡아요,1977
446,양희은,포크/블루스,들길 따라서,1977
447,혜은이,성인가요,뛰뛰 빵빵,1977
448,최백호,발라드,뛰어,1977
449,하사와 병장,성인가요,목화밭,1977
450,박인희,포크/블루스,방랑자,1977
451,이미자,성인가요,섬마을 선생님,1977
452,최헌,성인가요,세월,1977
453,진미령,성인가요,소녀와 가로등,1977
454,조경수,성인가요,아니야,1977
455,전영,성인가요,어디쯤 가고 있을까,1977
456,김만수,포크/블루스,영아,1977
457,최헌,성인가요,오동잎,1977
458,옥희,성인가요,이웃사촌,1977
459,조용필,성인가요,정,1977
460,투에이스,성인가요,정아,1977
461,윤승희,포크/블루스,제비처럼,1977
462,혜은이,성인가요,진짜진짜 좋아해,1977
463,이미자,성인가요,타국에서,1977
464,김만수,포크/블루스,푸른 시절,1977
465,이수만,성인가요,한송이 꿈,1977
466,이수만,발라드,행복,1977
467,세부엉,발라드,호수에 잠긴 달,1977
468,딕 훼밀리,성인가요,흰 구름 먹구름,1977
469,이명우,발라드,가시리,1978
470,윤수일,록/메탈,갈대,1978
471,혜은이,성인가요,감수광,1978
472,이은하,댄스,겨울 장미,1978
473,장은아,포크/블루스,고귀한 선물,1978
474,박경애,성인가요,곡예사의 첫사랑,1978
475,윤시내,성인가요,공연히,1978
476,최헌,성인가요,구름 나그네,1978
477,최백호,발라드,그쟈,1978
478,투에이스,성인가요,긴 세월,1978
479,현이와 덕이,성인가요,꼬마인형,1978
480,샌드 페블즈,발라드,나 어떡해 (77년 대,1978
481,권은경,성인가요,나도 모르게,1978
482,세샘 트리오,성인가요,나성 (L.A) 에 가면,1978
483,최병걸,발라드,난 정말 몰랐었네,1978
484,산울림,록/메탈,내 마음에 주단을 깔고,1978
485,김수희,성인가요,너무합니다,1978
486,김세화,성인가요,눈물로 쓴 편지(겨울여자 주제곡),1978
487,논두렁 밭두렁,발라드,다락방,1978
488,조경수,성인가요,돌려줄수 없나요,1978
489,김태곤,성인가요,망부석,1978
490,박경희,성인가요,머무는곳 그 어딜지 몰라도,1978
491,김미성,성인가요,먼훗날,1978
492,산울림,록/메탈,문 좀 열어줘,1978
493,썰물,발라드,밀려오는 파도소리에,1978
494,머슴아들,성인가요,밤에 가겠소,1978
495,이은하,댄스,밤차,1978
496,박인수,록/메탈,봄비 (1970년작),1978
497,산울림,록/메탈,빨간풍선,1978
498,윤수일,록/메탈,사랑만은 않겠어요,1978
499,전영,성인가요,서울야곡,1978
500,김태곤,성인가요,송학사,1978
501,물레방아,성인가요,순이 생각,1978
502,권태수,성인가요,아기곰,1978
503,산울림,록/메탈,아니 벌써,1978
504,김태곤,성인가요,아리아리아라리요,1978
505,김미성,성인가요,아쉬움,1978
506,정애리,성인가요,얘야 시집가거라,1978
507,홍수철,-,어떤날 둘이는,1978
508,최헌,성인가요,어찌합니까,1978
509,둘 다섯,포크/블루스,얼룩 고무신,1978
510,혜은이,성인가요,영원히 당신만을,1978
511,김세화,성인가요,작은 연인들,1978
512,허성희,성인가요,전우가 남긴 한마디,1978
513,장은숙,성인가요,춤을 추어요,1978
514,장계현,성인가요,햇빛 쏟아지는 들판,1978
515,윤세원,발라드,환,1978
516,서유석,포크/블루스,황소 걸음,1978
517,최헌,성인가요,가을비 우산속,1979
518,산울림,록/메탈,개구장이,1979
519,장욱조,성인가요,고목나무,1979
520,블랙테트라,포크/블루스,구름과 나,1979
521,이정희,발라드,그대생각,1979
522,Fevers,포크/블루스,그대로 그렇게,1979
523,심수봉,발라드,그때 그사람,1979
524,서유석,포크/블루스,그림자,1979
525,홍삼트리오,발라드,기도,1979
526,이광조,발라드,나들이,1979
527,윤시내,성인가요,난 모르겠네,1979
528,배인숙,성인가요,누구라도 그러하듯이,1979
529,노사연,발라드,돌고 돌아가는 길 (금,1979
530,들고양이들,성인가요,마음약해서,1979
531,김만준,발라드,모모(A),1979
532,패티김,성인가요,못잊어,1979
533,해바라기,포크/블루스,뭉개 구름,1979
534,서유석,포크/블루스,미소,1979
535,이은하,댄스,봄비,1979
536,장재남,발라드,빈 의자,1979
537,권은경,성인가요,푸른파도 갈매기야,1979
538,가람과 뫼,발라드,생일,1979
539,런웨이,포크/블루스,세,1979
540,정태춘,포크/블루스,시인의 마을,1979
541,희자매,성인가요,실버들,1979
542,이은하,성인가요,아리송해,1979
543,윤복희,성인가요,여러분,1979
544,징검다리,포크/블루스,여름,1979
545,라이너스,록/메탈,연 (Inst.),1979
546,김트리오,성인가요,연안부두,1979
547,윤시내,발라드,열애,1979
548,최백호,발라드,영일만 친구,1979
549,장은아,포크/블루스,이 거리를 생각하세요,1979
550,활주로,록/메탈,이빠진 동그라미,1979
551,최백호,발라드,입영 전야,1979
552,4월과 5월,포크/블루스,장미,1979
553,혜은이,성인가요,제3한강교,1979
554,활주로,발라드,탈춤 (은,1979
555,어니언스 (이수영),발라드,하얀 면사포,1979
556,사랑과 평화,록/메탈,한동안 뜸 했었지,1979
557,조경수,성인가요,행복이란,1979
558,정태춘,포크/블루스,회,1979
559,조경수,성인가요,YMCA,1979
560,윤시내,발라드,고목,1980
